Rep,IMU_Start_Time,GoPro_Start_Time
Kahlua_Aframe_2,1680380414.7211578,2023:04:01 16:20:02 -04:00
Kahlua_Aframe_3,1680380443.157106,2023:04:01 16:20:39 -04:00
Kahlua_Aframe_4,1680380461.669992,2023:04:01 16:21:01 -04:00
Nico_Aframe_1,1680461691.8407848,2023:04:02 14:54:55 -04:00
Nico_Aframe_2,1680461723.082155,2023:04:02 14:55:25 -04:00
Nico_Aframe_3,1680461752.846504,2023:04:02 14:55:50 -04:00
Nico_Aframe_4,1680461785.615754,2023:04:02 14:56:21 -04:00
Noodle_Aframe_1,1680451897.78913,2023:04:02 12:12:01 -04:00
Noodle_Aframe_2,1680451948.5228312,2023:04:02 12:12:21 -04:00
Noodle_Aframe_3,1680451975.2525299,2023:04:02 12:12:57 -04:00
Noodle_Aframe_4,1680452001.393323,2023:04:02 12:13:23 -04:00
Pizza_Aframe_1,1680450533.185528,2023:04:02 11:48:53 -04:00
Pizza_Aframe_2,1680450558.1274822,2023:04:02 11:49:17 -04:00
Pizza_Aframe_3,1680450581.997983,2023:04:02 11:49:50 -04:00
Pizza_Aframe_4,1680450611.925879,2023:04:02 11:50:08 -04:00
Raina_Aframe_1,1680368010.863592,2023:04:01 12:53:32 -04:00
Raina_Aframe_2,1680368050.105064,2023:04:01 12:54:10 -04:00
Raina_Aframe_3,1680368080.33813,2023:04:01 12:54:40 -04:00
Raina_Aframe_4,1680368120.385684,2023:04:01 12:55:13 -04:00
Revv_Aframe_1,1680448993.072809,2023:04:02 11:23:11 -04:00
Revv_Aframe_2,1680449012.862311,2023:04:02 11:23:34 -04:00
Revv_Aframe_3,1680449040.9993951,2023:04:02 11:24:00 -04:00
Revv_Aframe_4,1680449066.801991,2023:04:02 11:24:24 -04:00
Rockett_Aframe_1,1680380994.72473,2023:04:01 16:29:52 -04:00
Rockett_Aframe_2,1680381019.752672,2023:04:01 16:30:17 -04:00
Rockett_Aframe_3,1680381049.1598332,2023:04:01 16:30:45 -04:00
Rockett_Aframe_4,1680381068.720119,2023:04:01 16:31:09 -04:00
Rumchata_Aframe_1,1680381786.6354618,2023:04:01 16:43:03 -04:00
Rumchata_Aframe_2,1680381826.222881,2023:04:01 16:43:46 -04:00
Rumchata_Aframe_3,1680381851.809536,2023:04:01 16:44:12 -04:00
Rumchata_Aframe_4,1680381874.539366,2023:04:01 16:44:34 -04:00
Sass_Aframe_1,1680373407.032146,2023:04:01 14:23:35 -04:00
Sass_Aframe_2,1680373444.626932,2023:04:01 14:24:04 -04:00
Sass_Aframe_3,1680373486.25425,2023:04:01 14:24:42 -04:00
Sass_Aframe_4,1680373517.791565,2023:04:01 14:25:17 -04:00
Tigger_Aframe_2,1680449815.952225,2023:04:02 11:36:52 -04:00
Tigger_Aframe_3,1680449843.274532,2023:04:02 11:37:23 -04:00
Tigger_Aframe_4,1680449874.813115,2023:04:02 11:37:57 -04:00
Vivi_Aframe_1,1680460124.2637708,2023:04:02 14:28:45 -04:00
Vivi_Aframe_2,1680460151.474852,2023:04:02 14:29:16 -04:00
Vivi_Aframe_3,1680460179.9136362,2023:04:02 14:29:40 -04:00
Vivi_Aframe_4,1680460210.606775,2023:04:02 14:30:12 -04:00
Vivi_Aframe_5,1680460260.115207,2023:04:02 14:30:43 -04:00
Zazu_Aframe_1,1680451234.0717142,2023:04:02 12:00:35 -04:00
Zazu_Aframe_2,1680451276.768348,2023:04:02 12:01:11 -04:00
Zazu_Aframe_3,1680451316.1285288,2023:04:02 12:01:57 -04:00
